Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
Oracle Coherence,Oracles in-memory data grid solution,Key-value store,,"Score,2.69,Rank,#116,Overall,#20,Key-value stores",www.oracle.com/middleware/technologies/coherence.html,docs.oracle.com/en/middleware/standalone/coherence,Oracle,2007.0,"12c, September 2016",commercial,no,,Java,All OS with a Java VM,schema-free,yes,no,no,no,"JCache,JPA,RESTful HTTP API",".Net,C++,Java",no,yes,Sharding,"yes, with selectable consistency level",no,"Eventual Consistency,Immediate Consistency",no,configurable,yes,yes,yes,authentification to access the cache via certificates or http basic authentication
Amazon SimpleDB,"Hosted simple database service by Amazon, with the data stored in the Amazon Cloud.",Key-value store,,"Score,2.65,Rank,#117,Overall,#21,Key-value stores",aws.amazon.com/simpledb,docs.aws.amazon.com/simpledb,Amazon,2007.0,,commercial,yes,,,hosted,schema-free,no,,yes,no,RESTful HTTP API,".Net,C,C++,Erlang,Java,PHP,Python,Ruby,Scala",no,no,none,yes,no,"Eventual Consistency,Immediate Consistency",no,no,yes,yes,,Access rights for users and roles can be defined via the AWS Identity and Access Management (IAM)
4D,Application development environment with integrated database management system,Relational DBMS,,"Score,2.64,Rank,#118,Overall,#59,Relational DBMS",www.4d.com,livedoc.4d.com,"4D, Inc",1984.0,"v18 R5, January 2021",commercial,no,,,"OS X,Windows",yes,yes,yes,yes,yes,"ODBC,RESTful HTTP API,SOAP webservices","4D proprietary IDE,PHP",yes,yes,none,Multi-source replication,no,Immediate Consistency,yes,ACID,yes,yes,no,Users and groups
OpenTSDB,"Scalable Time Series DBMS based on,HBase",Time Series DBMS,,"Score,2.62,Rank,#119,Overall,#7,Time Series DBMS",opentsdb.net,opentsdb.net/docs/build/html/index.html,currently maintained by Yahoo and other contributors,2011.0,,Open Source,no,,Java,"Linux,Windows",schema-free,"numeric data for metrics, strings for tags",no,no,no,"HTTP API,Telnet API","Erlang,Go,Java,Python,R,Ruby",no,no,Sharding,selectable replication factor,no,Immediate Consistency,no,no,yes,yes,no,no
LMDB,"A high performant, light-weight, embedded key-value database library",Key-value store,,"Score,2.60,Rank,#120,Overall,#22,Key-value stores",www.symas.com/symas-embedded-database-lmdb,,Symas,2011.0,"0.9.29, March 2021",Open Source,no,,C,,schema-free,,no,no,no,,C,no,no,none,none,no,Immediate Consistency,no,ACID,yes,yes,yes,no
Amazon CloudSearch,A hosted search engine service by Amazon with the data stored in Amazons cloud,Search engine,,"Score,2.54,Rank,#121,Overall,#11,Search engines",aws.amazon.com/cloudsearch,docs.aws.amazon.com/cloudsearch,Amazon,2012.0,,commercial,yes,,,hosted,yes,yes,,yes,no,HTTP API,,no,no,yes,yes,no,,no,no,yes,yes,,authentication via encrypted signatures
InterSystems IRIS,"A containerised multi-model DBMS, interoperability and analytics data platform with wide capabilities for vertical and horizontal scalability","Document store,Key-value store,Object oriented DBMS,Relational DBMS",,"Score,2.52,Rank,#122,Overall,#23,Document stores,#23,Key-value stores,#2,Object oriented DBMS,#60,Relational DBMS",www.intersystems.com/products/intersystems-iris,docs.intersystems.com/irislatest/csp/docbook/DocBook.UI.Page.cls,InterSystems,2018.0,"2021.1, June 2021",commercial,no,,,"AIX,Linux,macOS,Windows",depending on used data model,yes,yes,yes,yes,"JDBC,ODBC,RESTful HTTP API",".Net,C++,Java,JavaScript (Node.js),Python",yes,yes,Sharding,Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,yes,yes
GraphDB,"Enterprise-ready RDF and graph database with efficient reasoning, cluster and external index synchronization support. It supports also SQL JDBC access to Knowledge Graph and GraphQL over SPARQL.","Graph DBMS,RDF store",,"Score,2.46,Rank,#123,Overall,#8,Graph DBMS,#5,RDF stores",www.ontotext.com,graphdb.ontotext.com/documentation,Ontotext,2000.0,"9.8, June 2021",commercial,no,,Java,"All OS with a Java VM,Linux,OS X,Windows",schema-free and OWL/RDFS-schema support; RDF shapes,yes,no,"yes, supports real-time synchronization and indexing in SOLR/Elastic search/Lucene and GeoSPARQL geometry data indexes",stored SPARQL accessed as SQL using Apache Calcite through JDBC/ODBC,"GeoSPARQL,GraphQL,GraphQL Federation,Java API,JDBC,RDF4J API,RDFS,RIO,Sail API,Sesame REST HTTP Protocol,SPARQL 1.1",".Net,C#,Clojure,Java,JavaScript (Node.js),PHP,Python,Ruby,Scala",well-defined plugin interfaces; JavaScript server-side extensibility,no,none,Multi-source replication,no,"Immediate Consistency, Eventual consistency (configurable in cluster mode per master or individual client request)",yes,ACID,yes,yes,,"Default Basic authentication through RDF4J client, or via Java when run with cURL, default token-based in the Workbench or via Rest API, optional access through OpenID or Kerberos single sign-on."
Apache Druid,Open-source analytics data store designed for sub-second OLAP queries on high dimensionality and high cardinality data,"Relational DBMS,Time Series DBMS",,"Score,2.39,Rank,#124,Overall,#61,Relational DBMS,#8,Time Series DBMS",druid.apache.org,druid.apache.org/docs/latest/design,Apache Software Foundation and contributors,2012.0,"24.0.0, September 2022",Open Source,no,,Java,"Linux,OS X,Unix",yes,yes,no,yes,SQL for querying,"JDBC,RESTful HTTP/JSON API","Clojure,JavaScript,PHP,Python,R,Ruby,Scala",no,no,Sharding,"yes, via HDFS, S3 or other storage engines",no,Immediate Consistency,no,no,yes,yes,no,RBAC using LDAP or Druid internals for users and groups for read/write by datasource and system
SpatiaLite,"Spatial extension of,SQLite",Spatial DBMS,Relational DBMS,"Score,2.37,Rank,#125,Overall,#3,Spatial DBMS",www.gaia-gis.it/fossil/libspatialite/index,www.gaia-gis.it/gaia-sins/spatialite_topics.html,Alessandro Furieri,2008.0,"5.0.0, August 2020",Open Source,no,,C++,server-less,yes,yes,no,yes,yes,,,no,yes,none,none,no,,yes,ACID,yes,yes,yes,no
DolphinDB,"DolphinDB is a high performance,Time Series DBMS,. It is integrated with an easy-to-use fully featured programming language and a high-volume high-velocity streaming analytics system. It offers operational simplicity, scalability, fault tolerance, and concurrency.",Time Series DBMS,Relational DBMS,"Score,2.32,Rank,#126,Overall,#9,Time Series DBMS",www.dolphindb.com,www.dolphindb.com/help,"DolphinDB, Inc",2018.0,"v2.00.4, January 2022",commercial,no,,C++,"Linux,Windows",yes,yes,no,yes,SQL-like query language,"JDBC,JSON over HTTP,Kafka,MQTT (Message Queue Telemetry Transport),ODBC,OPC DA,OPC UA,RabbitMQ,WebSocket","C#,C++,Go,Java,JavaScript,MatLab,Python,R,Rust",yes,no,horizontal partitioning,yes,yes,Immediate Consistency,no,yes,yes,yes,yes,"Administrators, Users, Groups"
GridGain,"GridGain is an in-memory computing platform, built on,Apache Ignite","Key-value store,Relational DBMS",,"Score,2.31,Rank,#127,Overall,#24,Key-value stores,#62,Relational DBMS",www.gridgain.com,www.gridgain.com/docs/latest,"GridGain Systems, Inc.",2007.0,GridGain 8.5.1,commercial,no,,"Java, C++, .Net","Linux,OS X,Solaris,Windows",yes,yes,yes,yes,"ANSI-99 for query and DML statements, subset of DDL","HDFS API,Hibernate,JCache,JDBC,ODBC,Proprietary protocol,RESTful HTTP API,Spring Data","C#,C++,Java,PHP,Python,Ruby,Scala",yes (compute grid and cache interceptors can be used instead),yes (cache interceptors and events),Sharding,yes (replicated cache),yes (compute grid and hadoop accelerator),Immediate Consistency,no,ACID,yes,yes,yes,Security Hooks for custom implementations
Geode,"Geode is a distributed data container, pooling memory, CPU, network resources, and optionally local disk across multiple processes",Key-value store,,"Score,2.25,Rank,#128,Overall,#25,Key-value stores",geode.apache.org,geode.apache.org/docs,Originally developed by Gemstone. They outsourced the project to Apache in 2015 but still deliver a commercial version as Gemfire.,2002.0,"1.1, February 2017",Open Source,no,,Java,All OS with a Java VM,schema-free,yes,no,no,SQL-like query language (OQL),"Java Client API,Memcached protocol,RESTful HTTP API",".Net,All JVM based languages,C++,Groovy,Java,Scala",user defined functions,yes,Sharding,Multi-source replication,no,Eventual Consistency,no,"yes, on a single node",yes,yes,yes,Access rights per client and object definable
Coveo,"AI-powered hosted search, recommendation and personalization platform providing tools for both low-code and full-code development",Search engine,,"Score,2.25,Rank,#129,Overall,#12,Search engines",www.coveo.com,docs.coveo.com,Coveo,2012.0,,commercial,yes,,,hosted,"hybrid - fields need to be configured prior to indexing, but relationships can be exploited at query time without pre-configuration",yes,no,yes,no,RESTful HTTP API,"C#,Java,JavaScript,Python",no,yes,yes,yes,no,Immediate Consistency,yes,yes,yes,yes,,"granular access controls, API key management, content filters"
IBM Db2 warehouse,Cloud-based data warehousing service,Relational DBMS,,"Score,2.21,Rank,#130,Overall,#63,Relational DBMS",www.ibm.com/products/db2-warehouse,,IBM,2014.0,,commercial,yes,,,hosted,yes,yes,no,yes,yes,".NET Client API,JDBC,ODBC,OLE DB","Java,JavaScript (Node.js),Perl,PHP,Python,R,Ruby","PL/SQL, SQL PL",yes,Sharding,yes,no,Immediate Consistency,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
MonetDB,A relational database management system that stores data in columns,Relational DBMS,"Document store,Spatial DBMS","Score,2.19,Rank,#131,Overall,#64,Relational DBMS",www.monetdb.org,www.monetdb.org/Documentation,MonetDB BV,2004.0,"Jul2021-SP2, July 2021",Open Source,no,,C,"FreeBSD,Linux,OS X,Solaris,Windows",yes,yes,,yes,yes,"JDBC,native C library,ODBC","C,C++,Java,JavaScript (Node.js),Perl,PHP,Python,R,Ruby","yes, in SQL, C, R",yes,Sharding via remote tables,none,no,,yes,ACID,yes,yes,,fine grained access rights according to SQL-standard
Datomic,"Datomic builds on immutable values, supports point-in-time queries and uses 3rd party systems for durability",Relational DBMS,,"Score,2.18,Rank,#132,Overall,#65,Relational DBMS",www.datomic.com,docs.datomic.com,Cognitect,2012.0,"1.0.6362, January 2022",commercial,no,,"Java, Clojure",All OS with a Java VM,yes,yes,no,yes,no,RESTful HTTP API,"Clojure,Java",yes,By using transaction functions,none,none,no,Immediate Consistency,no,ACID,yes,yes,yes,no
TigerGraph,"A complete, distributed, parallel graph computing platform supporting web-scale data analytics in real-time",Graph DBMS,,"Score,2.17,Rank,#133,Overall,#9,Graph DBMS",www.tigergraph.com,docs.tigergraph.com,,2017.0,,commercial,no,,C++,Linux,yes,yes,no,,SQL-like query language (GSQL),"GSQL (TigerGraph Query Language),Kafka,RESTful HTTP/JSON API","C++,Java",yes,no,,,yes,,yes,ACID,yes,yes,no,Role-based access control
VoltDB,"Distributed In-Memory NewSQL,RDBMS",Relational DBMS,,"Score,2.10,Rank,#134,Overall,#66,Relational DBMS",www.voltdb.com,docs.voltdb.com,VoltDB Inc.,2010.0,"11.3, April 2022",Open Source,no,,"Java, C++","Linux,OS X",yes,yes,,yes,yes,"Java API,JDBC,RESTful HTTP/JSON API","C#,C++,Erlang,Go,Java,JavaScript,PHP,Python",Java,no,Sharding,"Multi-source replication,Source-replica replication",no,,no,ACID,yes,yes,,Users and roles with access to stored procedures
HEAVY.AI,"A high performance, column-oriented,RDBMS,, specifically developed to harness the massive parallelism of modern CPU and GPU hardware",Relational DBMS,Spatial DBMS,"Score,2.10,Rank,#135,Overall,#67,Relational DBMS","github.com/heavyai/heavydb,www.heavy.ai",docs.heavy.ai,"HEAVY.AI, Inc.",2016.0,"5.10, January 2022",Open Source,no,,C++ and CUDA,Linux,yes,yes,no,no,yes,"JDBC,ODBC,Thrift,Vega","All languages supporting JDBC/ODBC/Thrift,Python",no,no,Sharding,Multi-source replication,no,Immediate Consistency,no,no,yes,yes,yes,fine grained access rights according to SQL-standard
Amazon DocumentDB,"Fast, scalable, highly available, and fully managed,MongoDB,-compatible database service",Document store,,"Score,2.07,Rank,#136,Overall,#24,Document stores",aws.amazon.com/documentdb,aws.amazon.com/documentdb/resources,,2019.0,,commercial,yes,,,hosted,schema-free,yes,no,yes,no,proprietary protocol using JSON (MongoDB compatible),"Go,Java,JavaScript (Node.js),PHP,Python",no,no,none,"Multi-availability zones for high availability, asynchronous replication for up to 15 read replicas",no,Immediate Consistency,no,Atomic single-document operations,yes,yes,,Access rights for users and roles
TimesTen,"In-Memory,RDBMS,compatible to Oracle",Relational DBMS,,"Score,2.02,Rank,#137,Overall,#68,Relational DBMS",www.oracle.com/database/technologies/related/timesten.html,docs.oracle.com/database/timesten-18.1,"Oracle, TimesTen Performance Software, HP",1998.0,11 Release 2 (11.2.2.8.0),commercial,no,,,"AIX,HP-UX,Linux,OS X,Solaris SPARC/x86,Windows",yes,yes,no,yes,yes,"JDBC,ODBC,ODP.NET,Oracle Call Interface (OCI)","C,C++,Java,PL/SQL",PL/SQL,no,none,"Multi-source replication,Source-replica replication",no,Immediate Consistency or Eventual Consistency depending on configuration,yes,ACID,yes,yes,yes,fine grained access rights according to SQL-standard
Db4o,,Object oriented DBMS,,"Score,2.01,Rank,#138,Overall,#3,Object oriented DBMS",sourceforge.net/projects/db4o,,,2001.0,8.0,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
QuestDB,"A high performance open source SQL database for,time series data",Time Series DBMS,Relational DBMS,"Score,1.93,Rank,#139,Overall,#10,Time Series DBMS",questdb.io,questdb.io/docs/introduction,QuestDB Limited,2014.0,,Open Source,no,,Java,"Linux,macOS,Windows",yes,yes,no,no,SQL-like query language,"HTTP REST,InfluxDB Line Protocol (TCP/UDP),JDBC","C,C++,Go,Java,JavaScript (Node.js),Python,Rust",no,no,horizontal partitioning (by timestamps),Configurable consistency for N replicas,no,Immediate Consistency,no,ACID for single-table writes,yes,yes,yes,
Tarantool,In-memory computing platform with a flexible data schema for efficiently building high-performance applications,Key-value store,"Document store,Relational DBMS,Spatial DBMS","Score,1.92,Rank,#140,Overall,#26,Key-value stores",www.tarantool.io,www.tarantool.io/en/doc,VK,2008.0,"2.10.0, May 2022",Open Source,no,,C and C++,"BSD,Linux,macOS","schema-free, schema definition possible","string, double, decimal, uuid, integer, blob, boolean",no,yes,Full-featured ANSI SQL support,Open binary protocol,"C,C#,C++,Erlang,Go,Java,JavaScript,Lua,Perl,PHP,Python,Rust","Lua, C and SQL stored procedures",yes,Hash sharding based on virtual buckets,"Multi-source replication,Source-replica replication",,Immediate Consistency,"yes, with SQL","ACID, read commited","yes, cooperative multitasking","yes, regular snapshots on disk, write ahead logging","yes, full featured in-memory storage engine with persistence",Access rights for users and roles
ObjectStore,,Object oriented DBMS,,"Score,1.86,Rank,#141,Overall,#4,Object oriented DBMS",ignitetech.com/objectstore,,Ignite Technologies,1988.0,"2013 Update 1, April 2014",commercial,no,,,,,,,,,,,,,,,,,,,,,,
Tibero,"A secure RDBMS, designed for easy portability from Oracle",Relational DBMS,,"Score,1.85,Rank,#142,Overall,#69,Relational DBMS",www.tmaxsoft.com/products/tibero,technet.tmaxsoft.com/upload/download/online/tibero/pver-20150504-000002/index.html,TmaxSoft,2003.0,"6, April 2015",commercial,no,,C and Assembler,"AIX,HP-UX,Linux,Solaris,Windows",yes,yes,yes,yes,yes,"JDBC,ODBC,ODP.NET,Oracle Call Interface (OCI),Tibero CLI","C,C#,C++,Cobol,Java,Objective-C,Perl,PHP,Python,Ruby,Visual Basic",Persistent Stored Procedure (PSM),yes,horizontal partitioning,"Multi-source replication,Source-replica replication",no,Immediate Consistency,yes,ACID,yes,yes,no,"fine grained access rights according to SQL-standard (SQL 92, SQL 99)"
GridDB,Scalable in-memory time series database optimized for IoT and Big Data,Time Series DBMS,"Key-value store,Relational DBMS","Score,1.80,Rank,#143,Overall,#11,Time Series DBMS",griddb.net,docs.griddb.net,Toshiba Corporation,2013.0,"5.1, August 2022",Open Source,no,,C++,Linux,yes,yes,no,yes,"SQL92, SQL-like TQL (Toshiba Query Language)","JDBC,ODBC,Proprietary protocol,RESTful HTTP/JSON API","C,C++,Go,Java,JavaScript (Node.js),Perl,PHP,Python,Ruby",no,yes,Sharding,Source-replica replication,Connector for using GridDB as an input source and output destination for Hadoop MapReduce jobs,"Immediate consistency within container, eventual consistency across containers",no,ACID at container level,yes,yes,yes,Access rights for users can be defined per database
FoundationDB,Ordered key-value store. Core features are complimented by layers.,"Document store,Key-value store,Relational DBMS",,"Score,1.78,Rank,#144,Overall,#25,Document stores,#27,Key-value stores,#70,Relational DBMS",www.foundationdb.org,apple.github.io/foundationdb,FoundationDB,2013.0,"6.2.28, November 2020",Open Source,no,,C++,"Linux,OS X,Windows",schema-free,no,,no,supported in specific SQL layer only,,".Net,C,C++,Go,Java,JavaScript,PHP,Python,Ruby,Swift",in SQL-layer only,no,Sharding,yes,no,Linearizable consistency,in SQL-layer only,ACID,yes,yes,,no
Stardog,"Enterprise Knowledge Graph platform and graph DBMS with high availability, high performance reasoning, and virtualization","Graph DBMS,RDF store",,"Score,1.76,Rank,#145,Overall,#10,Graph DBMS,#6,RDF stores",www.stardog.com,docs.stardog.com,Stardog-Union,2010.0,"7.3.0, May 2020",commercial,no,,Java,"Linux,macOS,Windows",schema-free and OWL/RDFS-schema support,yes,no,yes,"Yes, compatible with all major SQL variants through dedicated BI/SQL Server","GraphQL query language,HTTP API,Jena RDF API,OWL,RDF4J API,Sesame REST HTTP Protocol,SNARL,SPARQL,Spring Data,Stardog Studio,TinkerPop 3",".Net,Clojure,Groovy,Java,JavaScript,Python,Ruby","user defined functions and aggregates, HTTP Server extensions in Java",yes,none,Multi-source replication in HA-Cluster,no,Immediate Consistency in HA-Cluster,yes,ACID,yes,yes,yes,Access rights for users and roles
